                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0445,                  1.605,                 1.7279,                 1.3891,                0.69327,                0.47437,                0.44003,                0.26008,                0.69327,                0.47437,                0.45362,                0.25672,                 1.3131,                 2.7972,                  2.795,                 1.6802,              0.0010736,              0.0010736,              0.0010736
                     36,                 1.0696,                 2.0248,                 1.8484,                  1.437,                0.73039,                0.47068,                0.48022,                0.28212,                 0.7294,                0.46178,                0.46738,                0.25434,                 1.2563,                 2.9458,                 2.4674,                 1.6122,              0.0010725,              0.0010725,              0.0010725
                     37,                  1.048,                 1.5584,                 1.8247,                  1.445,                0.73039,                0.47068,                0.48022,                0.28212,                 0.7294,                0.46178,                0.46738,                0.25434,                 1.2563,                 2.9458,                 2.4674,                 1.6122,              0.0010714,              0.0010714,              0.0010714
                     38,                0.98626,                 1.6914,                 1.8458,                 1.3515,                 0.7693,                0.38684,                0.46484,                  0.302,                 0.7693,                0.38684,                0.52074,                0.29675,                  1.146,                 2.2603,                 2.2547,                 1.5042,              0.0010703,              0.0010703,              0.0010703
                     39,                 1.0863,                 1.5249,                  1.856,                 1.4864,                 0.7693,                0.38684,                0.46484,                  0.302,                 0.7693,                0.38684,                0.52074,                0.29675,                  1.146,                 2.2603,                 2.2547,                 1.5042,              0.0010692,              0.0010692,              0.0010692
                     40,                 1.1094,                 1.7137,                 1.8656,                 1.4871,                0.47217,                0.73088,                0.75581,                0.34521,                0.50411,                 0.7756,                0.76406,                0.47053,                 1.1193,                 1.9294,                 2.0311,                 1.5384,              0.0010681,              0.0010681,              0.0010681
                     41,                 1.1221,                 1.3722,                 1.8758,                 1.4826,                0.47217,                0.73088,                0.75581,                0.34521,                0.50411,                 0.7756,                0.76406,                0.47053,                 1.1193,                 1.9294,                 2.0311,                 1.5384,               0.001067,               0.001067,               0.001067
                     42,                0.98253,                 1.5606,                 1.6582,                 1.3314,                0.39504,                0.80993,                0.64343,                0.32786,                0.39504,                0.80993,                0.63756,                0.39372,                 1.1068,                 1.9289,                 2.0877,                 1.5417,              0.0010659,              0.0010659,              0.0010659
                     43,                 1.0061,                 1.5203,                 1.6756,                 1.4058,                0.39504,                0.80993,                0.64343,                0.32786,                0.39504,                0.80993,                0.63756,                0.39372,                 1.1068,                 1.9289,                 2.0877,                 1.5417,              0.0010648,              0.0010648,              0.0010648
                     44,                 1.1059,                 1.5596,                  1.814,                 1.5228,                0.39504,                0.80993,                0.64343,                0.32786,                0.39504,                0.80993,                0.63756,                0.39372,                 1.1068,                 1.9289,                 2.0877,                 1.5417,              0.0010637,              0.0010637,              0.0010637
